employee_key,employee_id,full_name,email,department,role,salary,years_experience,status,change_reason,valid_from,valid_to,is_current
30,EMP0012,Reem Najjar,reem.najjar@presight.ai,Sustainability,Data Analyst,21896.0,7,Active,Market correction adjustment,2024-05-06,2024-06-27,False
31,EMP0012,Reem Najjar,reem.najjar@presight.ai,Sustainability,Data Analyst,24214.0,7,Active,Cost of living adjustment,2024-06-27,2025-02-01,False
32,EMP0012,Reem Najjar,reem.najjar@presight.ai,Sustainability,Data Analyst,31126.0,7,Active,Cost of living adjustment,2025-02-01,9999-12-31,True
33,EMP0013,Salma Al Shamsi,salma.al.shamsi@presight.ai,Operations,Senior Data Engineer,8347.0,0,Active,Initial appointment,2024-09-05,2025-03-24,False
34,EMP0013,Salma Al Shamsi,salma.al.shamsi@presight.ai,Operations,Senior Data Engineer,12645.0,0,Active,Project completion bonus integration,2025-03-24,9999-12-31,True
35,EMP0014,Aaliyah Mansour,aaliyah.mansour@presight.ai,IT,Data Engineer,20466.0,3,Active,Hire - Initial Appointment,2024-04-12,9999-12-31,True
36,EMP0015,Roshan Reddy,roshan.reddy@presight.ai,Digital,Product Manager,6915.0,2,Active,Initial appointment,2023-04-28,2024-03-22,False
37,EMP0015,Roshan Reddy,roshan.reddy@presight.ai,Digital,Product Manager,7517.0,2,Active,Promoted following review,2024-03-22,2025-03-08,False
38,EMP0015,Roshan Reddy,roshan.reddy@presight.ai,Digital,Product Manager,12524.0,2,Active,Retention adjustment,2025-03-08,9999-12-31,True
39,EMP0016,Min Joshi,min.joshi@presight.ai,Engineering,Data Engineer,46423.0,11,Active,Hire - Initial Appointment,2015-09-08,9999-12-31,True
40,EMP0017,Priya Nambiar,priya.nambiar@presight.ai,Operations,Supply Chain Analyst,28119.0,6,Active,Hire - Initial Appointment,2019-08-10,9999-12-31,True
41,EMP0018,Raj Menon,raj.menon@presight.ai,Sales,Account Manager,14779.0,0,Active,Hire - Initial Appointment,2024-04-08,9999-12-31,True
42,EMP0019,Noura Al Mazrouei,noura.al.mazrouei@presight.ai,Data Science,BI Developer,14981.0,2,Active,Initial appointment,2023-01-08,2023-11-20,False
43,EMP0019,Noura Al Mazrouei,noura.al.mazrouei@presight.ai,Data Science,BI Developer,17604.0,2,Active,Cost of living adjustment,2023-11-20,2025-02-28,False
44,EMP0019,Noura Al Mazrouei,noura.al.mazrouei@presight.ai,Data Science,BI Developer,21508.0,2,Active,Annual performance increase,2025-02-28,9999-12-31,True
45,EMP0020,Dana Hamdan,dana.hamdan@presight.ai,Operations,Operations Analyst,24729.0,14,Active,Initial appointment,2011-07-22,2012-08-19,False
46,EMP0020,Dana Hamdan,dana.hamdan@presight.ai,Operations,Operations Analyst,28620.0,14,Active,Market correction adjustment,2012-08-19,2022-08-26,False
47,EMP0020,Dana Hamdan,dana.hamdan@presight.ai,Operations,Operations Analyst,30206.0,14,Active,Cost of living adjustment,2022-08-26,2022-10-03,False
48,EMP0020,Dana Hamdan,dana.hamdan@presight.ai,Operations,Operations Analyst,40697.0,14,Active,Project completion bonus integration,2022-10-03,9999-12-31,True
49,EMP0021,Dana Al Naqbi,dana.al.naqbi@presight.ai,Operations,Operations Analyst,15458.0,6,Active,Initial appointment,2019-06-11,2021-10-06,False
50,EMP0021,Dana Al Naqbi,dana.al.naqbi@presight.ai,Operations,Operations Analyst,21744.0,6,Active,Promoted following review,2021-10-06,9999-12-31,True
51,EMP0022,Carlos Okonkwo,carlos.okonkwo@presight.ai,Sustainability,Data Analyst,8879.0,0,Active,Initial appointment,2024-04-30,2024-11-04,False
52,EMP0022,Carlos Okonkwo,carlos.okonkwo@presight.ai,Sustainability,Data Analyst,10081.0,0,Active,Annual performance increase,2024-11-04,2024-11-05,False
53,EMP0022,Carlos Okonkwo,carlos.okonkwo@presight.ai,Sustainability,Data Analyst,10825.0,0,Active,Retention adjustment,2024-11-05,2025-01-08,False
54,EMP0022,Carlos Okonkwo,carlos.okonkwo@presight.ai,Sustainability,Data Analyst,12561.0,0,Active,Project completion bonus integration,2025-01-08,9999-12-31,True
55,EMP0023,Khalifa Saleh,khalifa.saleh@presight.ai,Data Science,BI Engineer,21630.0,6,Active,Hire - Initial Appointment,2020-05-14,9999-12-31,True
56,EMP0024,Bilal Farooq,bilal.farooq@presight.ai,Sales,Account Manager,23159.0,2,Active,Hire - Initial Appointment,2023-08-23,9999-12-31,True
57,EMP0025,Ibrahim Khoury,ibrahim.khoury@presight.ai,Finance,Data Analyst,7132.0,1,Active,Initial appointment,2024-05-25,2024-12-31,False
58,EMP0025,Ibrahim Khoury,ibrahim.khoury@presight.ai,Finance,Data Analyst,12563.0,1,Active,Cost of living adjustment,2024-12-31,9999-12-31,True
59,EMP0026,Ahmed Farooq,ahmed.farooq@presight.ai,Sustainability,Data Analyst,10677.0,4,Active,Initial appointment,2021-02-24,2021-11-02,False
60,EMP0026,Ahmed Farooq,ahmed.farooq@presight.ai,Sustainability,Data Analyst,11614.0,4,Active,Annual performance increase,2021-11-02,2022-02-08,False
61,EMP0026,Ahmed Farooq,ahmed.farooq@presight.ai,Sustainability,Data Analyst,13086.0,4,Active,Market correction adjustment,2022-02-08,2022-05-24,False
62,EMP0026,Ahmed Farooq,ahmed.farooq@presight.ai,Sustainability,Data Analyst,13812.0,4,Active,Market correction adjustment,2022-05-24,2025-06-30,False
63,EMP0026,Ahmed Farooq,ahmed.farooq@presight.ai,Sustainability,Data Analyst,18100.0,4,Active,Annual performance increase,2025-06-30,9999-12-31,True
64,EMP0027,Kavya Mehta,kavya.mehta1@presight.ai,Operations,Supply Chain Analyst,21170.0,12,Active,Initial appointment,2014-01-29,2021-04-29,False
65,EMP0027,Kavya Mehta,kavya.mehta1@presight.ai,Operations,Supply Chain Analyst,23420.0,12,Active,Promoted following review,2021-04-29,2022-04-30,False
66,EMP0027,Kavya Mehta,kavya.mehta1@presight.ai,Operations,Supply Chain Analyst,27029.0,12,Active,Promoted following review,2022-04-30,2024-05-13,False
67,EMP0027,Kavya Mehta,kavya.mehta1@presight.ai,Operations,Supply Chain Analyst,33280.0,12,Active,Promoted following review,2024-05-13,9999-12-31,True
68,EMP0028,Layla Al Naqbi,layla.al.naqbi@presight.ai,Sales,Sales Analyst,40619.0,20,Active,Initial appointment,2007-08-11,2010-12-14,False
69,EMP0028,Layla Al Naqbi,layla.al.naqbi@presight.ai,Sales,Sales Analyst,47557.0,20,Active,Retention adjustment,2010-12-14,2018-01-20,False
70,EMP0028,Layla Al Naqbi,layla.al.naqbi@presight.ai,Sales,Sales Analyst,64478.0,20,Active,Retention adjustment,2018-01-20,9999-12-31,True
71,EMP0029,Mateo Patel,mateo.patel@presight.ai,Engineering,Data Modeler,22623.0,7,Active,Initial appointment,2019-03-08,2020-12-04,False
72,EMP0029,Mateo Patel,mateo.patel@presight.ai,Engineering,Data Modeler,24590.0,7,Active,Retention adjustment,2020-12-04,2023-07-16,False
73,EMP0029,Mateo Patel,mateo.patel@presight.ai,Engineering,Data Modeler,34052.0,7,Active,Annual performance increase,2023-07-16,9999-12-31,True
74,EMP0030,Karthik Murthy,karthik.murthy@presight.ai,Operations,Senior Data Engineer,18773.0,10,Active,Initial appointment,2017-07-29,2018-11-28,False
75,EMP0030,Karthik Murthy,karthik.murthy@presight.ai,Operations,Senior Data Engineer,26684.0,10,Active,Promoted following review,2018-11-28,9999-12-31,True
76,EMP0031,Adam Al Marri,adam.al.marri@presight.ai,Legal,Legal Analyst,15372.0,1,Active,Hire - Initial Appointment,2024-03-22,9999-12-31,True
77,EMP0032,Min Chen,min.chen@presight.ai,Digital,Product Manager,18826.0,2,Active,Hire - Initial Appointment,2024-04-08,9999-12-31,True
78,EMP0033,Lara Hernandez,lara.hernandez@presight.ai,Sales,Account Manager,11184.0,2,Active,Initial appointment,2024-04-01,2025-01-05,False
79,EMP0033,Lara Hernandez,lara.hernandez@presight.ai,Sales,Account Manager,12076.0,2,Active,Annual performance increase,2025-01-05,2025-03-27,False
80,EMP0033,Lara Hernandez,lara.hernandez@presight.ai,Sales,Account Manager,17226.0,2,Active,Annual performance increase,2025-03-27,9999-12-31,True
81,EMP0034,Eman Al Zaabi,eman.al.zaabi@presight.ai,Procurement,Vendor Manager,24691.0,6,Active,Initial appointment,2020-04-08,2022-05-20,False
82,EMP0034,Eman Al Zaabi,eman.al.zaabi@presight.ai,Procurement,Vendor Manager,28611.0,6,Active,Market correction adjustment,2022-05-20,2023-08-28,False
83,EMP0034,Eman Al Zaabi,eman.al.zaabi@presight.ai,Procurement,Vendor Manager,31123.0,6,Active,Project completion bonus integration,2023-08-28,2024-04-26,False
84,EMP0034,Eman Al Zaabi,eman.al.zaabi@presight.ai,Procurement,Vendor Manager,34932.0,6,Active,Annual performance increase,2024-04-26,9999-12-31,True
85,EMP0035,Omar Al Zaabi,omar.al.zaabi@presight.ai,Legal,Legal Analyst,10456.0,0,Active,Initial appointment,2024-06-02,2025-01-15,False
86,EMP0035,Omar Al Zaabi,omar.al.zaabi@presight.ai,Legal,Legal Analyst,12241.0,0,Active,Project completion bonus integration,2025-01-15,2025-04-14,False
87,EMP0035,Omar Al Zaabi,omar.al.zaabi@presight.ai,Legal,Legal Analyst,13611.0,0,Active,Market correction adjustment,2025-04-14,2025-05-22,False
88,EMP0035,Omar Al Zaabi,omar.al.zaabi@presight.ai,Legal,Legal Analyst,14571.0,0,Active,Retention adjustment,2025-05-22,9999-12-31,True
89,EMP0036,Aisha Mansour,aisha.mansour@presight.ai,IT,IT Manager,13425.0,2,Active,Hire - Initial Appointment,2024-01-01,9999-12-31,True
90,EMP0037,Meera Mehta,meera.mehta@presight.ai,Digital,Product Manager,21187.0,5,Active,Hire - Initial Appointment,2022-03-28,9999-12-31,True
91,EMP0038,Divya Joshi,divya.joshi@presight.ai,Operations,Operations Analyst,28262.0,7,Active,Hire - Initial Appointment,2020-01-01,9999-12-31,True
92,EMP0039,Roshan Tanaka,roshan.tanaka@presight.ai,Sales,Account Manager,33099.0,11,Active,Hire - Initial Appointment,2014-03-19,9999-12-31,True
93,EMP0040,Anika Tanaka,anika.tanaka@presight.ai,Operations,Senior Data Engineer,9751.0,3,Active,Initial appointment,2022-05-08,2023-02-17,False
94,EMP0040,Anika Tanaka,anika.tanaka@presight.ai,Operations,Senior Data Engineer,10418.0,3,Active,Cost of living adjustment,2023-02-17,2023-04-07,False
95,EMP0040,Anika Tanaka,anika.tanaka@presight.ai,Operations,Senior Data Engineer,16243.0,3,Active,Cost of living adjustment,2023-04-07,9999-12-31,True
96,EMP0041,Lin Nair,lin.nair@presight.ai,HR,Learning & Development,48037.0,16,Active,Hire - Initial Appointment,2010-08-20,9999-12-31,True
97,EMP0042,Hassan Najjar,hassan.najjar@presight.ai,Finance,Finance Manager,32939.0,8,Active,Hire - Initial Appointment,2018-08-15,9999-12-31,True
98,EMP0043,Hamad Al Naqbi,hamad.al.naqbi@presight.ai,IT,Cloud Architect,14467.0,3,Active,Initial appointment,2022-08-01,2023-12-23,False
99,EMP0043,Hamad Al Naqbi,hamad.al.naqbi@presight.ai,IT,Cloud Architect,15323.0,3,Active,Annual performance increase,2023-12-23,2024-06-30,False
100,EMP0043,Hamad Al Naqbi,hamad.al.naqbi@presight.ai,IT,Cloud Architect,17641.0,3,Active,Retention adjustment,2024-06-30,2024-12-06,False
101,EMP0043,Hamad Al Naqbi,hamad.al.naqbi@presight.ai,IT,Cloud Architect,22786.0,3,Active,Market correction adjustment,2024-12-06,9999-12-31,True
102,EMP0044,Nadia Ibrahim,nadia.ibrahim@presight.ai,Marketing,Marketing Analyst,47432.0,14,Active,Hire - Initial Appointment,2012-01-07,9999-12-31,True
103,EMP0045,Sanjay Patel,sanjay.patel@presight.ai,Procurement,Procurement Analyst,22427.0,8,Active,Initial appointment,2018-08-13,2024-09-19,False
104,EMP0045,Sanjay Patel,sanjay.patel@presight.ai,Procurement,Procurement Analyst,25080.0,8,Active,Promoted following review,2024-09-19,2025-04-22,False
105,EMP0045,Sanjay Patel,sanjay.patel@presight.ai,Procurement,Procurement Analyst,32999.0,8,Active,Project completion bonus integration,2025-04-22,9999-12-31,True
106,EMP0046,Pooja Pillai,pooja.pillai@presight.ai,Digital,Senior Data Engineer,27756.0,8,Active,Initial appointment,2018-01-15,2021-03-28,False
107,EMP0046,Pooja Pillai,pooja.pillai@presight.ai,Digital,Senior Data Engineer,46751.0,8,Active,Annual performance increase,2021-03-28,9999-12-31,True
108,EMP0047,Rashid Al Rumaithi,rashid.al.rumaithi@presight.ai,Legal,Legal Analyst,19677.0,4,Active,Hire - Initial Appointment,2022-05-23,9999-12-31,True
109,EMP0048,Hiroshi Sharma,hiroshi.sharma@presight.ai,Procurement,Vendor Manager,12038.0,2,Active,Initial appointment,2024-01-21,2025-01-09,False
110,EMP0048,Hiroshi Sharma,hiroshi.sharma@presight.ai,Procurement,Vendor Manager,18836.0,2,Active,Project completion bonus integration,2025-01-09,9999-12-31,True
111,EMP0049,Ravi Krishnan,ravi.krishnan@presight.ai,Operations,Senior Data Engineer,12937.0,1,Active,Hire - Initial Appointment,2024-05-11,9999-12-31,True
112,EMP0050,Sophie Williams,sophie.williams@presight.ai,IT,DevOps Engineer,32115.0,8,Active,Initial appointment,2018-07-13,2020-05-15,False
113,EMP0050,Sophie Williams,sophie.williams@presight.ai,IT,DevOps Engineer,37026.0,8,Active,Project completion bonus integration,2020-05-15,2022-06-08,False
114,EMP0050,Sophie Williams,sophie.williams@presight.ai,IT,DevOps Engineer,42543.0,8,Active,Cost of living adjustment,2022-06-08,2023-12-03,False
115,EMP0050,Sophie Williams,sophie.williams@presight.ai,IT,DevOps Engineer,47481.0,8,Active,Market correction adjustment,2023-12-03,9999-12-31,True
116,EMP0051,Meera Bhatt,meera.bhatt@presight.ai,Data Science,Data Scientist,25410.0,6,Active,Initial appointment,2021-01-22,2024-03-21,False
117,EMP0051,Meera Bhatt,meera.bhatt@presight.ai,Data Science,Data Scientist,28570.0,6,Active,Cost of living adjustment,2024-03-21,2025-05-15,False
118,EMP0051,Meera Bhatt,meera.bhatt@presight.ai,Data Science,Data Scientist,32540.0,6,Active,Annual performance increase,2025-05-15,2025-05-19,False
119,EMP0051,Meera Bhatt,meera.bhatt@presight.ai,Data Science,Data Scientist,34837.0,6,Active,Project completion bonus integration,2025-05-19,9999-12-31,True
120,EMP0052,Layla Al Mansoori,layla.al.mansoori@presight.ai,Legal,Compliance Analyst,32102.0,10,Active,Hire - Initial Appointment,2017-08-25,9999-12-31,True
121,EMP0053,Mariam Saleh,mariam.saleh@presight.ai,Sustainability,Sustainability Analyst,18189.0,9,Active,Initial appointment,2017-05-07,2019-07-01,False
122,EMP0053,Mariam Saleh,mariam.saleh@presight.ai,Sustainability,Sustainability Analyst,19458.0,9,Active,Market correction adjustment,2019-07-01,2019-11-06,False
123,EMP0053,Mariam Saleh,mariam.saleh@presight.ai,Sustainability,Sustainability Analyst,22249.0,9,Active,Promoted following review,2019-11-06,2020-04-27,False
124,EMP0053,Mariam Saleh,mariam.saleh@presight.ai,Sustainability,Sustainability Analyst,32136.0,9,Active,Cost of living adjustment,2020-04-27,9999-12-31,True
125,EMP0054,Priya Nair,priya.nair@presight.ai,Sales,Sales Analyst,21049.0,4,Active,Hire - Initial Appointment,2021-09-07,9999-12-31,True
126,EMP0055,Mariam Mansour,mariam.mansour@presight.ai,Engineering,Senior Data Engineer,10005.0,3,Active,Initial appointment,2024-07-27,2025-02-13,False
127,EMP0055,Mariam Mansour,mariam.mansour@presight.ai,Engineering,Senior Data Engineer,17701.0,3,Active,Project completion bonus integration,2025-02-13,9999-12-31,True
128,EMP0056,Dana Mahmoud,dana.mahmoud@presight.ai,Engineering,Senior Data Engineer,11479.0,1,Active,Initial appointment,2024-07-07,2025-02-10,False
129,EMP0056,Dana Mahmoud,dana.mahmoud@presight.ai,Engineering,Senior Data Engineer,15312.0,1,Active,Project completion bonus integration,2025-02-10,9999-12-31,True
130,EMP0057,Eric Hernandez,eric.hernandez@presight.ai,Procurement,Vendor Manager,19059.0,3,Active,Hire - Initial Appointment,2022-04-09,9999-12-31,True
131,EMP0058,Rohan Chen,rohan.chen@presight.ai,Operations,Supply Chain Analyst,34659.0,9,Active,Hire - Initial Appointment,2016-04-11,9999-12-31,True
132,EMP0059,Bilal Al Rumaithi,bilal.al.rumaithi@presight.ai,Engineering,Data Modeler,33852.0,23,Active,Initial appointment,2002-09-14,2009-02-13,False
133,EMP0059,Bilal Al Rumaithi,bilal.al.rumaithi@presight.ai,Engineering,Data Modeler,59572.0,23,Active,Market correction adjustment,2009-02-13,9999-12-31,True
134,EMP0060,Maryam Al Bloushi,maryam.al.bloushi@presight.ai,IT,Network Engineer,28932.0,9,Active,Initial appointment,2016-07-26,2021-09-30,False
135,EMP0060,Maryam Al Bloushi,maryam.al.bloushi@presight.ai,IT,Network Engineer,32858.0,9,Active,Annual performance increase,2021-09-30,2022-02-24,False
136,EMP0060,Maryam Al Bloushi,maryam.al.bloushi@presight.ai,IT,Network Engineer,45827.0,9,Active,Cost of living adjustment,2022-02-24,9999-12-31,True
137,EMP0061,Sami Saeed,sami.saeed@presight.ai,Finance,Budget Analyst,8929.0,3,Active,Initial appointment,2024-04-25,2025-01-31,False
138,EMP0061,Sami Saeed,sami.saeed@presight.ai,Finance,Budget Analyst,10288.0,3,Active,Market correction adjustment,2025-01-31,2025-04-01,False
139,EMP0061,Sami Saeed,sami.saeed@presight.ai,Finance,Budget Analyst,12970.0,3,Active,Cost of living adjustment,2025-04-01,9999-12-31,True
140,EMP0062,Eman Al Shamsi,eman.al.shamsi@presight.ai,Marketing,Marketing Analyst,21111.0,8,Active,Initial appointment,2018-02-12,2021-07-25,False
141,EMP0062,Eman Al Shamsi,eman.al.shamsi@presight.ai,Marketing,Marketing Analyst,22501.0,8,Active,Market correction adjustment,2021-07-25,2022-07-26,False
142,EMP0062,Eman Al Shamsi,eman.al.shamsi@presight.ai,Marketing,Marketing Analyst,28404.0,8,Active,Market correction adjustment,2022-07-26,9999-12-31,True
143,EMP0063,Nadia Mahmoud,nadia.mahmoud@presight.ai,Procurement,Vendor Manager,25534.0,8,Active,Hire - Initial Appointment,2018-05-26,9999-12-31,True
144,EMP0064,Fatima Najjar,fatima.najjar@presight.ai,Marketing,Marketing Analyst,31965.0,6,Active,Hire - Initial Appointment,2021-04-26,9999-12-31,True
145,EMP0065,Rashid Al Marri,rashid.al.marri@presight.ai,Finance,Finance Manager,29728.0,12,Active,Hire - Initial Appointment,2013-08-30,9999-12-31,True
146,EMP0066,Dana Mahmoud,dana.mahmoud1@presight.ai,Data Science,ML Engineer,20799.0,9,Active,Initial appointment,2016-02-18,2020-03-14,False
147,EMP0066,Dana Mahmoud,dana.mahmoud1@presight.ai,Data Science,ML Engineer,30280.0,9,Active,Cost of living adjustment,2020-03-14,9999-12-31,True
148,EMP0067,Anjali Hussain,anjali.hussain@presight.ai,Finance,Budget Analyst,32708.0,12,Active,Hire - Initial Appointment,2014-04-05,9999-12-31,True
149,EMP0068,Inga Hernandez,inga.hernandez@presight.ai,Legal,Compliance Analyst,18317.0,4,Active,Hire - Initial Appointment,2022-09-11,9999-12-31,True
150,EMP0069,Karthik Zhang,karthik.zhang@presight.ai,Data Science,Data Scientist,17949.0,5,Active,Hire - Initial Appointment,2022-01-01,9999-12-31,True
151,EMP0070,Salma Saleh,salma.saleh@presight.ai,Digital,UX Designer,15978.0,9,Active,Initial appointment,2018-03-10,2018-11-23,False
152,EMP0070,Salma Saleh,salma.saleh@presight.ai,Digital,UX Designer,18637.0,9,Active,Promoted following review,2018-11-23,2020-08-29,False
153,EMP0070,Salma Saleh,salma.saleh@presight.ai,Digital,UX Designer,20647.0,9,Active,Annual performance increase,2020-08-29,2020-11-16,False
154,EMP0070,Salma Saleh,salma.saleh@presight.ai,Digital,UX Designer,22595.0,9,Active,Promoted following review,2020-11-16,2024-06-26,False
155,EMP0070,Salma Saleh,salma.saleh@presight.ai,Digital,UX Designer,28335.0,9,Active,Cost of living adjustment,2024-06-26,9999-12-31,True
156,EMP0071,Hassan Rahman,hassan.rahman@presight.ai,IT,DevOps Engineer,21524.0,5,Active,Hire - Initial Appointment,2020-04-26,9999-12-31,True
157,EMP0072,Hiroshi Malik,hiroshi.malik@presight.ai,Finance,Data Analyst,20403.0,5,Active,Hire - Initial Appointment,2021-05-05,9999-12-31,True
158,EMP0073,James Andersen,james.andersen@presight.ai,Finance,Finance Director,18443.0,9,Active,Initial appointment,2016-05-26,2018-05-06,False
159,EMP0073,James Andersen,james.andersen@presight.ai,Finance,Finance Director,22022.0,9,Active,Retention adjustment,2018-05-06,2019-10-02,False
160,EMP0073,James Andersen,james.andersen@presight.ai,Finance,Finance Director,30568.0,9,Active,Market correction adjustment,2019-10-02,9999-12-31,True
161,EMP0074,Inga Laurent,inga.laurent@presight.ai,Digital,Digital Analyst,13470.0,6,Active,Initial appointment,2021-07-13,2023-01-14,False
162,EMP0074,Inga Laurent,inga.laurent@presight.ai,Digital,Digital Analyst,14250.0,6,Active,Cost of living adjustment,2023-01-14,2024-11-16,False
163,EMP0074,Inga Laurent,inga.laurent@presight.ai,Digital,Digital Analyst,19723.0,6,Active,Project completion bonus integration,2024-11-16,9999-12-31,True
164,EMP0075,Sara Rossi,sara.rossi@presight.ai,Legal,Legal Analyst,17357.0,4,Active,Hire - Initial Appointment,2023-08-31,9999-12-31,True
165,EMP0076,James Pillai,james.pillai@presight.ai,Engineering,Data Modeler,10176.0,0,Inactive,Initial appointment,2024-02-21,2025-02-17,False
166,EMP0076,James Pillai,james.pillai@presight.ai,Engineering,Data Modeler,11486.0,0,Inactive,Retention adjustment,2025-02-17,2025-02-27,False
167,EMP0076,James Pillai,james.pillai@presight.ai,Engineering,Data Modeler,13441.0,0,Inactive,Market correction adjustment,2025-02-27,2025-05-23,False
168,EMP0076,James Pillai,james.pillai@presight.ai,Engineering,Data Modeler,14719.0,0,Inactive,Promoted following review,2025-05-23,9999-12-31,True
169,EMP0077,Sami Al Khaja,sami.al.khaja@presight.ai,Digital,Digital Analyst,30546.0,11,Active,Hire - Initial Appointment,2016-02-13,9999-12-31,True
170,EMP0078,Hanan Najjar,hanan.najjar@presight.ai,Procurement,Vendor Manager,31759.0,8,Active,Initial appointment,2019-02-06,2020-04-13,False
171,EMP0078,Hanan Najjar,hanan.najjar@presight.ai,Procurement,Vendor Manager,34429.0,8,Active,Annual performance increase,2020-04-13,2020-04-30,False
172,EMP0078,Hanan Najjar,hanan.najjar@presight.ai,Procurement,Vendor Manager,41115.0,8,Active,Market correction adjustment,2020-04-30,2020-08-13,False
173,EMP0078,Hanan Najjar,hanan.najjar@presight.ai,Procurement,Vendor Manager,46864.0,8,Active,Market correction adjustment,2020-08-13,9999-12-31,True
174,EMP0079,Camille Rivera,camille.rivera@presight.ai,Data Science,BI Specialist,26646.0,12,Active,Hire - Initial Appointment,2013-06-05,9999-12-31,True
175,EMP0080,Salma Yousef,salma.yousef@presight.ai,IT,IT Manager,15668.0,3,Active,Initial appointment,2022-03-31,2024-02-19,False
